Anno	Codice	PuntoV	Imponibile	Iva	Totale	Contanti	Carta	Tickets	Assegni	Altro	Sospesi	Perdite
2024	16	1	1286.77	104.87	1391.64	831.98	321.64	0	0	238.02	0	0
2024	16	2	524.55	52.45	577	510.35	65.9	0	0	0	0	0.75
2024	17	1	1065.71	78.19	1143.9	521.22	338.9	0	0	283.78	0	0
2024	17	2	424.91	42.49	467.4	393.7	69.1	0	0	0	0	4.6
2024	18	1	1609.4	121.67	1731.07	802.27	536.07	0	0	392.73	0	0
2024	18	2	417.92	41.78	459.7	339.4	120.2	0	0	0.1	0	0
2024	19	1	2670.01	214.99	2885	1659.9	705	0	0	520.1	0	0
2024	19	2	950.64	95.06	1045.7	838.1	206	0	0	0	0	1.6
2025	67	1	1384.37	114.73	1499.1	737.9	524.1	0	0	237.1	0	0
2025	67	2	821.09	82.11	903.2	813.4	89.8	0	0	0	0	0
2025	68	1	950.26	62.74	1013	432.14	258	0	0	322.86	0	0
2025	68	2	404.73	40.47	445.2	399.5	0	0	0	0	0	45.7
2025	69	1	1051.73	64.47	1116.2	348	361.2	0	0	407	0	0
2025	69	2	254.44	24.76	279.2	224	48.4	0	0	6.8	0	0
2025	70	1	1000.33	63.77	1064.1	432.4	269.1	0	0	362.6	0	0
2025	70	2	341.09	34.11	375.2	329	46	0	0	0	0	0.2
2025	71	1	949.35	68.85	1018.2	349.2	408.2	0	0	260.8	0	0
2025	71	2	333.64	33.36	367	347.6	19	0	0	0	0	0.4
2025	72	1	929.43	76.67	1006.1	512.3	331.1	0	0	162.7	0	0
2025	72	2	359.45	35.95	395.4	314.5	80.5	0	0	0	0	0.4
2025	73	1	2472.84	216.36	2689.2	1265.8	1114.2	0	0	309.2	0	0
2025	73	2	637.73	63.77	701.5	589.25	112	0	0	0	0	0.25
2025	74	1	1647.1	137.4	1784.5	896.9	614.5	0	0	273.1	0	0
2025	74	2	631.91	63.19	695.1	564.3	130.8	0	0	0	0	0
2025	75	1	1001.63	78.97	1080.6	483.1	385.6	0	0	211.9	0	0
2025	75	2	346.18	34.62	380.8	365.89	14.9	0	0	0	0	0.01
2025	76	1	901.47	64.23	965.7	440.8	265.7	0	0	259.2	0	0
2025	76	2	388.64	38.86	427.5	332.47	95	0	0	0	0	0.03
2025	77	1	967.75	63.85	1031.6	435.7	266.6	0	0	329.3	0	0
2025	77	2	404.01	28.19	432.2	200	110.1	0	0	122.1	0	0
